trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.4999999999999998, 'e': 0.7999999999999998}",25,0,-82.85044350977972,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.4999999999999998, 'e': 0.7949999999999998}",25,8,-77.02448750028654,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
42,False,"{'a': 0.4999999999999998, 'e': 0.7899999999999998}",20,12,-4.801342518862866,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.4999999999999998, 'e': 0.7849999999999998}",20,6,-26.6326000058901,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.4999999999999998, 'e': 0.7799999999999998}",20,0,-84.76204786688041,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
45,False,"{'a': 0.4999999999999998, 'e': 0.7749999999999998}",20,0,-79.85740340060886,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
46,False,"{'a': 0.4999999999999998, 'e': 0.7699999999999998}",20,0,-25.175287319058683,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.4999999999999998, 'e': 0.7649999999999998}",30,0,-25.038606613331638,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.4999999999999998, 'e': 0.7599999999999998}",20,0,-119.82647418163626,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
49,False,"{'a': 0.4999999999999998, 'e': 0.7549999999999998}",25,10,-20.94465173389835,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.4999999999999998, 'e': 0.7499999999999998}",30,0,-73.7610642806855,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.4999999999999998, 'e': 0.7449999999999998}",20,8,-24.50520615866706,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
52,False,"{'a': 0.4999999999999998, 'e': 0.7399999999999998}",25,0,-93.26907563199092,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
53,False,"{'a': 0.4999999999999998, 'e': 0.7349999999999998}",20,6,-35.0953200601453,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
54,False,"{'a': 0.4999999999999998, 'e': 0.7299999999999998}",30,0,-106.18086213339299,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.4999999999999998, 'e': 0.7249999999999998}",20,0,-13.867668269010995,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.4999999999999998, 'e': 0.7199999999999998}",25,6,-31.404899733249746,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
57,False,"{'a': 0.4999999999999998, 'e': 0.7149999999999997}",30,19,16.68839264982405,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.4999999999999998, 'e': 0.7099999999999997}",25,0,-48.045690024743095,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.4999999999999998, 'e': 0.7049999999999997}",25,0,-136.33161435580385,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
60,False,"{'a': 0.4999999999999998, 'e': 0.6999999999999997}",20,14,-33.4122031903113,"{0: 4, 1: 0, 2: 0, 3: 2, 4: 0}",1
61,False,"{'a': 0.4999999999999998, 'e': 0.6949999999999997}",20,0,-96.16695874675662,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
