trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.4999999999999998, 'e': 0.11532512103806251}",25,1,18.88396312969948,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.4999999999999998, 'e': 0.11304153064044985}",20,11,13.246356108962386,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.4999999999999998, 'e': 0.11080315836233387}",35,21,17.06145612213381,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.4999999999999998, 'e': 0.10860910882495796}",20,10,6.125712867030355,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.4999999999999998, 'e': 0.1064585043792528}",20,8,22.263694423487973,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.4999999999999998, 'e': 0.104350484754765}",20,10,21.831960208499172,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.4999999999999998, 'e': 0.10228420671553744}",25,0,13.158735700531748,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
116,False,"{'a': 0.4999999999999998, 'e': 0.1002588437228037}",20,8,22.37024856438208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.4999999999999998, 'e': 0.09827358560436154}",20,2,18.518727835002945,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.4999999999999998, 'e': 0.09632763823049303}",30,14,31.6530622526799,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.4999999999999998, 'e': 0.09442022319630235}",30,10,35.691711652447694,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.4999999999999998, 'e': 0.09255057751034329}",25,9,-5.6018771231511195,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.4999999999999998, 'e': 0.09071795328941251}",25,14,7.5389556675854354,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.4999999999999998, 'e': 0.08892161745938634}",20,5,22.998171409130205,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.4999999999999998, 'e': 0.0871608514619813}",20,6,-17.50650384363621,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.4999999999999998, 'e': 0.08543495096732123}",20,0,-6.669366864456274,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
125,False,"{'a': 0.4999999999999998, 'e': 0.08374322559219596}",25,8,-15.27129676464747,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.4999999999999998, 'e': 0.0820849986238988}",25,10,26.45926785811911,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.4999999999999998, 'e': 0.08045960674953244}",20,12,15.917516176313196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.4999999999999998, 'e': 0.07886639979067495}",20,10,21.783107862021534,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
